larc_id,task_name,see_description,grid_description,do_description,succeeded_verification,nb_successful_builds
20,1190e5a7.json,"In the input, you should see .a large grid with 2 colors",The output grid size is smaller 2x4,"To make the output, you have to take the main color and fill all squares",False,0
20,1190e5a7.json,"In the input, you should see a colored grid with vertical and horizontal lines",The output grid size count the number of vertical lines and add 1 to find your width and count the number of horizontal lines and add 1 to find your height,"To make the output, you have to once you have your grid size change the color of the grid to the color of the input grid not the lines",True,0
20,1190e5a7.json,"In the input, you should see a green colored grid with vertical and horizontal blue lines.",The output grid size change from 27x27 to 5x6,"To make the output, you have to remove blue horizontal and vertical lines",False,0
20,1190e5a7.json,"In the input, you should see a 6x7 green rectangle",The output grid size is now 2x4 and green,"To make the output, you have to 3x2 and make them blue",False,0
206,88a62173.json,"In the input, you should see red and then whole black colored and another yellow",The output grid size blue and red and then black colored,"To make the output, you have to black background change to another background",False,0
206,88a62173.json,"In the input, you should see good experiment",The output grid size good experiment,"To make the output, you have to good experiment",False,0
206,88a62173.json,"In the input, you should see pixels of color",The output grid size make 2x2 grid,"To make the output, you have to represent to the input grid to out put grid",False,0
206,88a62173.json,"In the input, you should see color pattern with different color",The output grid size 4x4 grid size,"To make the output, you have to replicate any of the 4x4 color pattern",True,0
206,88a62173.json,"In the input, you should see a grid with colored shapes in each corner.",The output grid size should be the size of one of the colored shapes.,"To make the output, you have to replicate one of the colored shapes.",True,0
206,88a62173.json,"In the input, you should see Bottom edge use",The output grid size Bottom edge use,"To make the output, you have to Bottom edge use",False,0
206,88a62173.json,"In the input, you should see squares of black and another color.",The output grid size will be 2x2.,"To make the output, you have to replicate one of the patterns in one of the corners. Bottom right, bottom left, top right, or top left.",True,1
206,88a62173.json,"In the input, you should see the patterns shown, some different that wont be the same",The output grid size with each separate pattern the ouput will be zoomed in or just a little bigger,"To make the output, you have to make a grid to equal the zoomed in pattern, if pattern is not easy choose the smallest and add or keep the same with remaining squares black",False,0
206,88a62173.json,"In the input, you should see a black cross in the center that divide the four corners into 2x2 blocks with one color and black.","The output grid size should be the same as one of those corners, likely 2x2","To make the output, you have to Determine which color is the majority in each corner in the input, and make that 1 square corner the same color in the output. If the color in the corner is even in the input (2 black, 2 colored) make it the color.",False,0
343,d90796e8.json,"In the input, you should see a small grid with green and red pixels touching.",The output grid size same as the input.,"To make the output, you have to if the red and green pixels are touching (not including diagonal touching) remove the red pixel (change it the same color as the background) and make the green pixel that it was touching light blue. Leave gray pixels and single green and red pixels alone.",True,1
343,d90796e8.json,"In the input, you should see a grid with green and red pixels touching",The output grid size remains the same,"To make the output, you have to make red pixels black if the red and green pixels are touching (excluding diagonally) and make the green pixel that it was touching teal. Leave gray and single green pixels alone.",False,0
343,d90796e8.json,"In the input, you should see a 3x3 grid with green and red square as the first two and an grey square at the center bottom.",The output grid size is the same as the output,"To make the output, you have to change the green square to blue and change the red square to black while the gray square remains the same.",False,0
343,d90796e8.json,"In the input, you should see a grid with gray, light blue, green and red pixels",The output grid size same size as input,"To make the output, you have to copy the exact entire image. Where ever a green and red pixel touch on their sides (not diagonal/corners), replace the green pixel with light blue, and replace the red pixel with black (remove it)",True,1
98,444801d8.json,"In the input, you should see blue and green grey and whole superimpose",The output grid size red and then green colors and about resize,"To make the output, you have to blue and red color",False,0
98,444801d8.json,"In the input, you should see corresponding",The output grid size fill the color,"To make the output, you have to same color change",True,0
98,444801d8.json,"In the input, you should see fill single complete grid","The output grid size In the input, you should see...fill single complete grid","To make the output, you have to In the input, you should see...fill single complete grid",True,1
77,3906de3d.json,"In the input, you should see black grid with two colors",The output grid size same size as the input,"To make the output, you have to move the bars into colors",True,0
77,3906de3d.json,"In the input, you should see a black grid with a blue pattern on top and red boxes toward the bottom.",The output grid size is the same as the input.,"To make the output, you have to move the red boxes up into the blue pattern to fill the black spaces.",True,0
77,3906de3d.json,"In the input, you should see a black grid with a blue pattern across the top and red at the bottom",The output grid size same as the input,"To make the output, you have to imagine the blue is a vacuum and sucks the red up into the open spaces. Move all red straight up.",True,3
210,8d5021e8.json,"In the input, you should see  four black box and two colored box",The output grid size doubled in back twice in down,"To make the output, you have to add the reverse input on the back then do two more time",True,0
210,8d5021e8.json,"In the input, you should see four black box and two colored box",The output grid size doubled in back twice in down,"To make the output, you have to add reverse input on the back then do two more time",True,1
210,8d5021e8.json,"In the input, you should see four black boxes and two boxes of another color","The output grid size is six of the input grid, two wide and three long","To make the output, you have to put the input grid in the center of your output grid. then create repeat the patterns but flip them.",True,0
210,8d5021e8.json,"In the input, you should see four block box and two colored box.",The output grid size Doubled in back twice in down.,"To make the output, you have to Add the reverse input on the back .",True,0
210,8d5021e8.json,"In the input, you should see four black boxes and two blue boxes.",The output grid size double in width and long way it is bigger times three.,"To make the output, you have to take the original shape from the input box and turn it counter clockwise and replicate that on the top 4x2 section of the output grid. Then reverse the shape and do that 4 more times",False,0
210,8d5021e8.json,"In the input, you should see four black box and two",The output grid size doubled in back twice in down,"To make the output, you have to add the reverse input on the back then do two more time",False,0
210,8d5021e8.json,"In the input, you should see four black squares and two colored squares in various shapes",The output grid size double in width and triple in length,"To make the output, you have to flip and mirror input grid to the bottom right of the output. Then mirror for the bottom left. Flip to make the middle left, mirror for the middle right. Flip for top left, mirror for top right.",True,0
210,8d5021e8.json,"In the input, you should see Four black boxes and two boxes of another color","The output grid size is six of the input grid, two wide and three long","To make the output, you have to put the input grid in the center of output grid. then create repeat the patterns but flip them",True,0
210,8d5021e8.json,"In the input, you should see four black box and two colored box 2x3",The output grid size double in back twice in down 5x9,"To make the output, you have to add the reverse input on the back then do two more time",True,0
355,ded97339.json,"In the input, you should see good and nice",The output grid size change the numbers,"To make the output, you have to by read the instructions",False,0
355,ded97339.json,"In the input, you should see magenta boxes are shown",The output grid size same grid size,"To make the output, you have to connect the magenta boxes except 1 magenta box. look like L shape,2 line shape",True,0
355,ded97339.json,"In the input, you should see It is 3x3 grid to develop.",The output grid size is different to change the color.,"To make the output, you have to join the each of the same grid.",False,0
355,ded97339.json,"In the input, you should see magenta boxes on a black background",The output grid size is the same size as the input grid,"To make the output, you have to connect the magenta boxes that are directly vertical and horizontal to each other.",True,1
139,6150a2bd.json,"In the input, you should see a black grid with a colored shape",The output grid size is the same as the input grid,"To make the output, you have to rotate the whole grid two times. Imagine that the entire grid has been flipped vertically and horizontally.",True,1
139,6150a2bd.json,"In the input, you should see a small black grid with a multicolored shape in it.",The output grid size .is the same as the input.,"To make the output, you have to imagine that the entire grid has been flipped both horizontally and vertically. Once you picture it, you can create the output grid.",True,1
139,6150a2bd.json,"In the input, you should see a small black grid with a multicolored shape in it.",The output grid size is the same as the input.,"To make the output, you have to imagine that the entire grid has been flipped both horizontally and vertically. Once you picture that you can create the output grid.",True,1
61,2bcee788.json,"In the input, you should see a large grid with two colored area patterns near the middle.",The output grid size stays the same.,"To make the output, you have to The background is all green. The object with the smaller number of blocks is not in the new image. The object with more blocks is placed in the same spaces in the new image. A mirrored image of the object is placed right next to the original object on the same orientation.",True,0
61,2bcee788.json,"In the input, you should see an object on a black background with red blocks.",The output grid size stays the same.,"To make the output, you have to change the background to green. The object should have 2 colors red and some other color. From the input, take the color that is not red and copy it exactly as it is. You want to make another copy of that color but make it a mirrored image in the direction of the red block.",True,1
61,2bcee788.json,"In the input, you should see black grid with two colored shapes connecting to each other in middle",The output grid size stays the same,"To make the output, you have to take the shape with more blocks and copy it exactly onto the output grid in the same color, then reflect it in the direction of the smaller shape. So you have an exact reflection of the larger shape. Color the rest of the background light green",True,0
61,2bcee788.json,"In the input, you should see two touching shapes of different colors on a black background. One shape will be larger than the other.",The output grid size is the same as the input grid.,"To make the output, you have to mirror the shape and color of the larger shape in the direction of the adjoining shape. The smaller shape should be covered by the mirrored shape.",True,0
247,a3df8b1e.json,"In the input, you should see a single blue point at the bottom",The output grid size is the same as the old one,"To make the output, you have to draw a blue dot one to the right and one up from the original one, follow that pattern until you reach the side, then draw a blue dot one to the left and one up until you reach the other side, repeat until you reach the top",True,1
247,a3df8b1e.json,"In the input, you should see a single blue point at the bottom",The output grid size is the same as the old one,"To make the output, you have to use blue dots like stairs to reach the top",True,0
247,a3df8b1e.json,"In the input, you should see a single blue block at the bottom with a black background",The output grid size stay the same.,"To make the output, you have to add blue squares in a 45 degree angle pattern back and forward until you reach the top.",True,2
302,c1d99e64.json,"In the input, you should see many squares and some black squares that run from end to end vertical or horizontal",The output grid size has same size,"To make the output, you have to color the black squares that create a line vertical or horizontal all the way across the grid red and only those squares red.",True,6
302,c1d99e64.json,"In the input, you should see herself",The output grid size included,"To make the output, you have to corresponding",True,0
181,776ffc46.json,"In the input, you should see various shapes with some that are surrounded by a complete gray border or an incomplete gray border.",The output grid size is the same as the input grid,"To make the output, you have to copy all shapes over to output including the gray borders. Change the colors of the same shapes that are in the gray border to the same color as the one in the gray border.",True,0
181,776ffc46.json,"In the input, you should see shapes surrounded by a complete gray border",The output grid size stays the same,"To make the output, you have to change the color of the shape or shapes that match the shape inside the complete gray border so that they are the same color. That is the color of the shape that is identical in size to the one in the gray, will change to the same color as the one in the gray.",True,1
36,1f876c06.json,"In the input, you should see various pairs of colored blocks in the grid.",The output grid size is the same as the input size.,"To make the output, you have to connect the two same colored blocks in a diagonal to create a same colored line.",True,0
36,1f876c06.json,"In the input, you should see various pairs of colored blocks in a black grid.",The output grid size is the same as the input grid size.,"To make the output, you have to copy the input grid. Then, form a diagonal line by connecting the two of the same color blocks. The diagonal line between each set of matching color blocks should be the same color as the two blocks you are connecting. Do this for each set of matching blocks.",True,4
119,50cb2852.json,"In the input, you should see colored areas",The output grid size the same,"To make the output, you have to color the inside of each colored area with light blue. Leave the outside of the colored shapes the example color one cube deep all the way around.",True,3
119,50cb2852.json,"In the input, you should see some shapes.",The output grid size is the same as the input.,"To make the output, you have to fill the inside of each shape with light blue squares.",True,0
119,50cb2852.json,"In the input, you should see several shapes of different colors",The output grid size is the same as input grid size,"To make the output, you have to fill the shapes in with light blue colors but leave the cubes on the edge the same color as the input grid",True,0
41,22233c11.json,"In the input, you should see green pattern or patterns",The output grid size same size,"To make the output, you have to on each of the center line direction of the green pattern, draw blue color pattern, and the blue color pattern is half of the green pattern",True,1
41,22233c11.json,"In the input, you should see Set(s) of diagonal green tiles",The output grid size remains the same size as the input grid.,"To make the output, you have to Put a light blue tile diagonal of each side of the green tiles that skips one black tile. Imagine an X is trying to be created, EXCEPT the light blue tiles skip the first diagonal tile (leave black) to make one light blue tile on each side.",True,0
41,22233c11.json,"In the input, you should see diagonal green line(s)",The output grid size remains the same as the input grid,"To make the output, you have to replicate the diagonal green line(s). At a perpendicular position of the green line(s), skip the number of squares which make the width of the green line, and place light blue squares equal in size to the width of the green line(s) on both sides of the green line(s).",True,0
375,eb281b96.json,"In the input, you should see pattern",The output grid size vertically,"To make the output, you have to horizontally",True,1
375,eb281b96.json,"In the input, you should see a black grid with colored blocks that repeat a cross pattern",The output grid size triples in length vertically while remaining the same width,"To make the output, you have to fill two blocks with red vertically underneath each side of the single red square as shown above. repeat until reaching the bottom of the grid.",False,0
375,eb281b96.json,"In the input, you should see the size of the pattern of the input grid",The output grid size is the same horizontally and multiplied by 3 vertically and add 1,"To make the output, you have to change the pattern vertically and horizontally",False,0
375,eb281b96.json,"In the input, you should see a black and light blue square,3x20",The output grid size is 9x20,"To make the output, you have to double the height of the grid.Copy exact.",False,0
375,eb281b96.json,"In the input, you should see a row of patterned grid",The output grid size the width is the same as the input grid and the height is the number of the vertical input grid multiplied by 3.,"To make the output, you have to create the grid. Then copy the original pattern onto the output grid. Next, create a mirror pattern from the original pattern underneath the original pattern. Then copy the whole original and mirror pattern to fill in the rest of the black grid.",True,0
375,eb281b96.json,"In the input, you should see the blue shapes",The output grid size 17to13,"To make the output, you have to .the way",False,0
375,eb281b96.json,"In the input, you should see a pattern composed of blue or red squares",The output grid size if blue grid will be 17x9 if Red grid will be 17x13,"To make the output, you have to if blue squares continue the pattern all the way to the end. If red do the same thing. It will be the same top and bottom.",False,0
375,eb281b96.json,"In the input, you should see two input grids, one using red boxes is four boxes high and the other using blue boxes is three boxes high.","The output grid size changes in height only. The first grid goes from four to thirteen boxes, and the second goes from three to nine boxes. The length remains the same for both grids.","To make the output, you have to copy the original pattern into the top of the grid, then the next few rows you create a mirror image of the first pattern using the same colors, so that it is upside down. The bottom half of the first grid is then a mirror image of the top half. The same process is used for the second grid.",False,0
375,eb281b96.json,"In the input, you should see a 3x17 or 4x17 pattern",The output grid size is the same horizontally and multiplied by 3 vertically (and add 1),"To make the output, you have to flip the pattern vertically 3 times to create a continuous pattern that is symmetrical both vertically and horizontally",True,0
230,963e52fc.json,"In the input, you should see a black grid with a repeating pattern from left to right.",The output grid size double the original horizontal size with the same vertical size.,"To make the output, you have to Repeat the middle colors in the second half of the new grid on the same rows.",True,1
230,963e52fc.json,"In the input, you should see a horizontal colored line in the middle",The output grid size the length of the grid double in size but the width stays the same,"To make the output, you have to repeat the same pattern of colors in the input pixels to the grid created in the output in the same position",True,1
230,963e52fc.json,"In the input, you should see a repeating pattern in which pixels are alternating by color and only use only two colors.",The output grid size is double the length of the input.,"To make the output, you have to start with one color, choose a second color, and repeats those colors. You should begin with the middle row.",True,0
230,963e52fc.json,"In the input, you should see .a 5x6 box with on rows 2 and 3 there are alternating red and light blue boxes all the way across.",The output grid size it is now a 5x12 box and the red >blue pattern repeats all the way across,"To make the output, you have to you just take the red and blue and repeat them all the way across.",False,0
230,963e52fc.json,"In the input, you should see a black grid with a pattern of blocks going horizontally in the middle",The output grid size should remain the same height but double the width.,"To make the output, you have to continue the horizontal pattern of blocks all the way to the end.",True,0
16,0dfd9992.json,"In the input, you should see .A repeating tile pattern",The output grid size is the same as the input grid,"To make the output, you have to copy input grid exactly. Fill in all black boxes to draw establish pattern",True,0
16,0dfd9992.json,"In the input, you should see a mostly filled in grid with a few black holes.",The output grid size is the same as the input grid.,"To make the output, you have to start by copying the input grid exactly. Fill in all of the black boxes to complete the pattern until there are no more black boxes. To do this notice the pattern of the colored boxes. For example the top row might repeat every 4th row (or 5 rows or whatever the number of rows is before it repeats). Once you've figured out the pattern just fill in the black boxes with the correct colored boxes. In the end you should see repeating patterns of colored boxes and there should be no black boxes in the grid.",True,3
288,b91ae062.json,"In the input, you should see color block patterns",The output grid size change the size into 6x6 or 12x12,"To make the output, you have to double the block patterns 2 times the grid size",False,0
288,b91ae062.json,"In the input, you should see 3x3 colored pattern",The output grid size will be varied by the input number. of colored pattern,"To make the output, you have to count the number of colors in input, then according to the count, each grid size is changed within each block. And each block should be colored as same in input",True,0
288,b91ae062.json,"In the input, you should see a series of colored blocks on a black background.","The output grid size increase to either 6x6, 9x9, or 12x12.","To make the output, you have to create either 2x2, 3x3, or 4x4 blocks of the original color in the input.",True,0
288,b91ae062.json,"In the input, you should see a random pattern of pixels",The output grid size is the number of colors in the pattern times 3 for both width and height,"To make the output, you have to re-create the same pattern with a single pixel becoming a square with sides of length corresponding to the number of colors in the original pattern. In other words, simply increase the resolution of the input by the number of colors it contains.",True,1
288,b91ae062.json,"In the input, you should see colored block patterns",The output grid size either 6x6 or 12x12,"To make the output, you have to double the block patterns 2 times the grid size",True,1
288,b91ae062.json,"In the input, you should see two different colored patterns.","The output grid size 6x6, 12x12 or 9x9","To make the output, you have to patterns in output should be two times size of input.",False,0
288,b91ae062.json,"In the input, you should see various colored squares and the rest will be black in a 3x3 grid.","The output grid size will zoom out to either 6x6, 9x9, or 12x12, depending how many colors are used (2 colors would make the output 6x6, 3 colors would be 9x9, etc).","To make the output, you have to just multiply the size of the output grid as stated in the last sentence, but make sure the colors take up as much space as before (if it's a 9x9 grid, each color square will be 3x3, for instance).",True,1
322,d06dbe63.json,"In the input, you should see one square.",The output grid size is the same.,"To make the output, you have to draw a line through the square.",False,0
322,d06dbe63.json,"In the input, you should see a blue square.",The output grid size is the same size.,"To make the output, you have to use just grey blocks add blocks to the top of the blue box, add two up, and then two to the right. Below the blue box add grey blocks, two down and then two to the left. Repeat this pattern to the edge of the grid.",True,1
322,d06dbe63.json,"In the input, you should see a blue square",The output grid size is the same as the input grid,"To make the output, you have to put two light grey squares above the blue square. Then two more light grey squares to the right of the last square you added. Put another two grey squares going up, and continue this pattern until you reach the end of the grid. This will build a grey staircase pattern from the blue square to the upper right corner.Beginning at the blue square again, put two light grey squares going down. Then put two going left, then two down, and continue until you reach the end of the grid. This will build a grey staircase pattern from the blue square to the bottom left corner.",True,0
322,d06dbe63.json,"In the input, you should see center of one square",The output grid size same size,"To make the output, you have to direction to change",False,0
322,d06dbe63.json,"In the input, you should see one light blue square",The output grid size is the same as the input,"To make the output, you have to place two gray pixels above the light blue square. Then make three gray squares (total) to the right, then three more (total) going up, etc to the end of the border. Do the same thing going down, except the squares should go to the left instead of to the right. It should look like stairs, sort of.",True,2
267,aba27056.json,"In the input, you should see a 7x7 black grid with a single color of squares that form a rectangle with a black hole",The output grid size is the same as the input grid size,"To make the output, you have to fill yellow squares in the hole of the rectangle and also add yellow squares on either all of the horizontal or all of the vertical lines out of the hole. Then add more yellow squares on a diagonal starting from the inner corner of each hole and going to the edge of the grid. Some yellow squares will repeat the yellow squares to fill the hole.",True,1
267,aba27056.json,"In the input, you should see a 7x7black grid with a single color pattern.",The output grid size does not change.,"To make the output, you have to fill in the pattern with yellow, color the black squares that make a straight line to the edge of the grid yellow, and create one yellow diagonal line from the line to the edge.",True,0
267,aba27056.json,"In the input, you should see change the color and size",The output grid size fill the color of empty box,"To make the output, you have to join the corner of the edge",True,0
