larc_id,task_name,see_description,grid_description,do_description
206,88a62173.json,"In the input, you should see squares of black and another color.",The output grid size will be 2x2.,"To make the output, you have to replicate one of the patterns in one of the corners. Bottom right, bottom left, top right, or top left."
343,d90796e8.json,"In the input, you should see a small grid with green and red pixels touching.",The output grid size same as the input.,"To make the output, you have to if the red and green pixels are touching (not including diagonal touching) remove the red pixel (change it the same color as the background) and make the green pixel that it was touching light blue. Leave gray pixels and single green and red pixels alone."
98,444801d8.json,"In the input, you should see fill single complete grid","The output grid size In the input, you should see...fill single complete grid","To make the output, you have to In the input, you should see...fill single complete grid"
77,3906de3d.json,"In the input, you should see a black grid with a blue pattern across the top and red at the bottom",The output grid size same as the input,"To make the output, you have to imagine the blue is a vacuum and sucks the red up into the open spaces. Move all red straight up."
210,8d5021e8.json,"In the input, you should see four black box and two colored box",The output grid size doubled in back twice in down,"To make the output, you have to add reverse input on the back then do two more time"
355,ded97339.json,"In the input, you should see magenta boxes on a black background",The output grid size is the same size as the input grid,"To make the output, you have to connect the magenta boxes that are directly vertical and horizontal to each other."
139,6150a2bd.json,"In the input, you should see a black grid with a colored shape",The output grid size is the same as the input grid,"To make the output, you have to rotate the whole grid two times. Imagine that the entire grid has been flipped vertically and horizontally."
61,2bcee788.json,"In the input, you should see an object on a black background with red blocks.",The output grid size stays the same.,"To make the output, you have to change the background to green. The object should have 2 colors red and some other color. From the input, take the color that is not red and copy it exactly as it is. You want to make another copy of that color but make it a mirrored image in the direction of the red block."
247,a3df8b1e.json,"In the input, you should see a single blue point at the bottom",The output grid size is the same as the old one,"To make the output, you have to draw a blue dot one to the right and one up from the original one, follow that pattern until you reach the side, then draw a blue dot one to the left and one up until you reach the other side, repeat until you reach the top"
302,c1d99e64.json,"In the input, you should see many squares and some black squares that run from end to end vertical or horizontal",The output grid size has same size,"To make the output, you have to color the black squares that create a line vertical or horizontal all the way across the grid red and only those squares red."
181,776ffc46.json,"In the input, you should see shapes surrounded by a complete gray border",The output grid size stays the same,"To make the output, you have to change the color of the shape or shapes that match the shape inside the complete gray border so that they are the same color. That is the color of the shape that is identical in size to the one in the gray, will change to the same color as the one in the gray."
36,1f876c06.json,"In the input, you should see various pairs of colored blocks in a black grid.",The output grid size is the same as the input grid size.,"To make the output, you have to copy the input grid. Then, form a diagonal line by connecting the two of the same color blocks. The diagonal line between each set of matching color blocks should be the same color as the two blocks you are connecting. Do this for each set of matching blocks."
119,50cb2852.json,"In the input, you should see colored areas",The output grid size the same,"To make the output, you have to color the inside of each colored area with light blue. Leave the outside of the colored shapes the example color one cube deep all the way around."
41,22233c11.json,"In the input, you should see green pattern or patterns",The output grid size same size,"To make the output, you have to on each of the center line direction of the green pattern, draw blue color pattern, and the blue color pattern is half of the green pattern"
375,eb281b96.json,"In the input, you should see pattern",The output grid size vertically,"To make the output, you have to horizontally"
230,963e52fc.json,"In the input, you should see a black grid with a repeating pattern from left to right.",The output grid size double the original horizontal size with the same vertical size.,"To make the output, you have to Repeat the middle colors in the second half of the new grid on the same rows."
16,0dfd9992.json,"In the input, you should see a mostly filled in grid with a few black holes.",The output grid size is the same as the input grid.,"To make the output, you have to start by copying the input grid exactly. Fill in all of the black boxes to complete the pattern until there are no more black boxes. To do this notice the pattern of the colored boxes. For example the top row might repeat every 4th row (or 5 rows or whatever the number of rows is before it repeats). Once you've figured out the pattern just fill in the black boxes with the correct colored boxes. In the end you should see repeating patterns of colored boxes and there should be no black boxes in the grid."
288,b91ae062.json,"In the input, you should see a random pattern of pixels",The output grid size is the number of colors in the pattern times 3 for both width and height,"To make the output, you have to re-create the same pattern with a single pixel becoming a square with sides of length corresponding to the number of colors in the original pattern. In other words, simply increase the resolution of the input by the number of colors it contains."
322,d06dbe63.json,"In the input, you should see a blue square.",The output grid size is the same size.,"To make the output, you have to use just grey blocks add blocks to the top of the blue box, add two up, and then two to the right. Below the blue box add grey blocks, two down and then two to the left. Repeat this pattern to the edge of the grid."
267,aba27056.json,"In the input, you should see a 7x7 black grid with a single color of squares that form a rectangle with a black hole",The output grid size is the same as the input grid size,"To make the output, you have to fill yellow squares in the hole of the rectangle and also add yellow squares on either all of the horizontal or all of the vertical lines out of the hole. Then add more yellow squares on a diagonal starting from the inner corner of each hole and going to the edge of the grid. Some yellow squares will repeat the yellow squares to fill the hole."
158,6b9890af.json,"In the input, you should see a large red square and a smaller object of a different color.",The output grid size is identical to the red square.,"To make the output, you have to fill in the red square with the other colored object."
334,d4a91cb9.json,"In the input, you should see the blue grid only.",The output grid size same as the input grid. copy the input grid.,"To make the output, you have to draw a down line with yellow to which the red grid's row meet. and continue the yellow grid to the side of the red grid"
271,aedd82e4.json,"In the input, you should see a number of different size shapes.",The output grid size is the same as the input grid.,"To make the output, you have to copy the input grid. Any shapes which only contain one single square should be colored blue."
57,28e73c20.json,"In the input, you should see a black background.",The output grid size is the same as the input.,"To make the output, you have to make a green ""spiral."" Begin in the upper left corner and work clockwise around the outer edges of the grid. Turn clockwise one cell short of making a complete border of green. Continue coloring green until you reach the center of the grid."
363,e509e548.json,"In the input, you should see several green designs",The output grid size stays the same as the input,"To make the output, you have to change design color to blue if the design only has one 90 degree edge , pink if it has two, and red if it has three"
226,94f9d214.json,"In the input, you should see is a 4x8 grid. The top 4x4 is a pattern of green pixels. The bottom is a 4x4 is a pattern of blue pixels.",The output grid size is a 4x4 grid.,"To make the output, you have to overlay the top 4x4 grid of green pixels over the bottom 4x4 grid of blue pixels or vice versa.After you complete the overlay whichever pixels are still black will be changed to red in the output. All the other pixels which are green, blue, or both will be changed to black"
318,ce602527.json,"In the input, you should see random designs on a solid background",The output grid size the size of one of the designs,"To make the output, you have to copy the design just as it is"
94,4258a5f9.json,"In the input, you should see a black grid with a number of grey boxes",The output grid size is the same as input,"To make the output, you have to surround each of the grey boxes with a blue border"
123,53b68214.json,"In the input, you should see a pattern on the black",The output grid size 10x10,"To make the output, you have to copy the input pattern to the original place and then continue the pattern (using the same color) in the new added 4x10 area."
82,3af2c5a8.json,"In the input, you should see pattern of color squares.",The output grid size change to 8x6.,"To make the output, you have to imagine grid is cut in half vertical. Copy pattern to top and below left half. Mirror pattern to right half of grid to top and below."
6,05269061.json,"In the input, you should see 7 by 7 grid being different colored on black background",The output grid size should be same as input size,"To make the output, you have to fill the black grid with same pattern of row color, next row need to replace the same pattern of first row one column move shifted left"
135,5c0a986e.json,"In the input, you should see two 2x2 boxes, one red and one blue",The output grid size same as the input size,"To make the output, you have to use the color blue to extend a 1x1 length of pixels northwest of the 2x2 blue box until there is no more room left. Then extend a 1x1 length of pixels southeast from the 2x2 red box until there is no more room left."
359,e3497940.json,"In the input, you should see a large grid separated into two black section with a set of grey blocks in the middle.",The output grid size is equal to the size of one of the original black section.,"To make the output, you have to take the right side section and turn it to the left rotating two times until all colored boxes start on the right. The image will be the overlap of the two sides."
162,6d0160f0.json,"In the input, you should see 9 squares created by lines of grey",The output grid size is the same as the input grid size,"To make the output, you have to take the 3x3 area with a yellow square and move it into a 3x3 area corresponding to where the yellow square is within the 9 squares. Then make all other squares within the other 9 squares black and any grey squares within the 9 squares black. The lines of grey stay."
163,6d0aefbc.json,"In the input, you should see a 3 by 3 grid",The output grid size changes to 3 by 6,"To make the output, you have to copy the grid and reflect it on the other half."
358,e26a3af2.json,"In the input, you should see several bars of solid colors with random color squares in them.",The output grid size is the same as the original.,"To make the output, you have to eliminate all the random color squares and replace them with the color of the bar they are in."
7,05f2a901.json,"In the input, you should see a light blue cube and a red shape.",The output grid size is the same as the input grid.,"To make the output, you have to keep the light blue cube in the same exact location. Then copy and move the other shape directly towards the blue cube, until it is touching it. At the end you'll have the light blue cube in the same exact spot as in the input grid and the the other shape will be the same but moved directly towards and touching the blue cube."
83,3bd67248.json,"In the input, you should see a colored line on the left side of the grid.",The output grid size is the same as the input grid.,"To make the output, you have to copy the input grid. Fill in all of the squares on the bottom row of the grid with yellow. Then draw a red line diagonal from the black square in the bottom left up to the top right of the grid. Do not change the bottom left color when you draw the yellow and red lines; the yellow and red lines each begin in the second column of the grid."
134,5bd6f4ac.json,"In the input, you should see more number of colored box",The output grid size three row and three coloum,"To make the output, you have to color the only top right color"
95,4290ef0e.json,"In the input, you should see various bright colors, shapes, and corners of various size","The output grid size match the biggest square/corner. If you only see two corners, the output grid will always be a square for this.","To make the output, you have to copy the background color and place all of the shapes in order of size within each other. Square will be in the center, box around that, then corners until all shapes fit exactly in the size of the grid. Keep all shapes their original color."
122,539a4f51.json,"In the input, you should see A vertical/horizontal pattern in differing colors.",The output grid size 10x10,"To make the output, you have to replicate the pattern in the input box and continue repeating until all the boxes in your 10x10 grid have a color in them (no black around the outside edge). You're making the exact pattern, but miniaturized and repeating. Depending upon input, your pattern will repeat 2-6 times."
319,ce9e57f2.json,"In the input, you should see 4 red bars that rise upward from the bottom of the grid in different heights.",The output grid size is the same as the input grid.,"To make the output, you have to change the lower half of the red bars to light blue and the upper half remain red. If there are an even number of squares in the bar, the red squares and light blue squares should be even. If there are an odd number of squares in a bar, there should be one more upper red squares than there are lower blue squares."
175,7447852a.json,"In the input, you should see a black background with a red zig-zag pattern.",The output grid size is the same as the original.,"To make the output, you have to fill in every third triangle with yellow, starting at the lower-left: yellow, black, black, yellow..."
362,e5062a87.json,"In the input, you should see several random black squares on a grid and one distinct pattern of red squares.",The output grid size is the same as the input grid.,"To make the output, you have to find any black squares that are in the same pattern as the red squares, then change the black squares in each pattern to red."
227,952a094c.json,"In the input, you should see a grid with a square or rectangle composed of monochromatic pixels with a colored pixel at each of the interior corners of the rectangle.",The output grid size is the same as the input.,"To make the output, you have to  copy the input grid to the output workspace. Move each of the interior corner colored pixels to the exterior corner opposite of their input position. Meaning, move the upper left interior pixel such that its corner is touching the lower left corner of the lower left corner pixel of the monochromatic rectangle or square. You're moving pixel at a 45 degree angle to the exterior opposite corner, do that with each interior corner square to create the correct output grid."
56,28bf18c6.json,"In the input, you should see a figure on a big grid.",The output grid size 3 up and 6 to the sides.,"To make the output, you have to copy the figure two times in that grid size."
335,d4f3cd78.json,"In the input, you should see a gray square (outside only) with one square of it still black.",The output grid size is same,"To make the output, you have to Fill in the square with light blue. Make the single black square that should be gray in the input light blue as well. Then you want to continue with light blue to make a line going to the edge of the grid. So it is like a line is going out of the square to the edge like a stop sign (but in any direction)"
270,ae4f1146.json,"In the input, you should see four cubes",The output grid size is is 3x3,"To make the output, you have to mirror the square with the most dark blocks"
159,6c434453.json,"In the input, you should see a black background with blue squares, crosses, lines, or L-shapes.",The output grid size remains the same as the input grid.,"To make the output, you have to substitute all the blue squares with red crosses. All other shapes (including the existing blue crosses) remain the same in the output grid."
289,b94a9452.json,"In the input, you should see a square shape with a smaller square centered inside of the larger square on a black background. The two squares are different colors.",The output grid size is the same size as the larger square.,"To make the output, you have to make an output grid that is the same size as the larger square. The size and placement of the smaller inner square should be the same relative to the input grid. The colors of the two squares should be swapped."
266,aabf363d.json,"In the input, you should see a pattern and one colored square at the bottom",The output grid size should be the same as the input,"To make the output, you have to change the pattern to match the one colored square at the bottom and fill in the one square at the bottom to black"
17,0e206a2e.json,"In the input, you should see a fully colored object and unfulfilled 3 color boxes with black backround.",The output grid size is same as given,"To make the output, you have to try to fill up the empty space between the three color boxes as the original object given."
374,ea786f4a.json,"In the input, you should see a solid colored grid with the center block a different color.",The output grid size stays the same as the input grid.,"To make the output, you have to use the same color as the center block, and starting at each corner of the center block, make a diagonal line that continues to each corner."
231,97999447.json,"In the input, you should see a grid with randomly placed colored tiles",The output grid size remains the same as the input grid.,"To make the output, you have to alternate to the RIGHT of the colored tile with light grey and the original color UNTIL it reaches the rightmost side of the grid, REPEAT this for each applicable colored tile."
118,508bd3b6.json,"In the input, you should see two to three red bars on either the top, bottom, left or right side and two to three light blue squares.",The output grid size is the same.,"To make the output, you have to you have to continue the direction the light blue squares are going until it reaches whatever the red spot it touches. Then it bounces off that spot and goes in that direction. Think of Pong. The line will always be diagonal, reach an edge of the grid and green except for the starting two or three spaces that are light blue."
40,22168020.json,"In the input, you should see a box of color with colored shapes up from each side.",The output grid size should be the same as the input,"To make the output, you have to fill in the area above the four square base until you get to the top of the colored area"
180,760b3cac.json,"In the input, you should see two colored objects, one above the other.",The output grid size is identical.,"To make the output, you have to create a mirror image of the top shape and place it to the side of that shape."
37,1fad071e.json,"In the input, you should see multiple 2x2 blue grids and other colors on black background",The output grid size 5x1 grid,"To make the output, you have to fill single blue grid from the left for every 2x2 blue grids available"
246,a3325580.json,"In the input, you should see colored shapes against a black background",The output grid size will be the size that the output lines require.,"To make the output, you have to identify the largest shapes by number of squares. This may be one shape or more than one shape, if they have the same number of square. Then create a vertical line for each of those shapes, in the order from left to right of the shapes, each line with the same number of squares as the input shape. If only one shape is largest, there will be one output line. If two shapes are largest together, there will be two lines, and so on."
303,c3e719e8.json,"In the input, you should see a 3x3 grid with all colored boxes.",The output grid size needs to be 9x9.,"To make the output, you have to Notice that you can copy the original 3x3 grid 9 times into the new grid (nine 3x3 patterns) and fill out the new grid in this pattern. Now look at which color is the most common in the input grid and keep that in mind. For example, if blue is the most common color in the input box and the top, left box is blue then copy the entire 3x3 box into the top, left 3x3 area in the new grid. If the bottom, middle box is blue then copy the entire 3x3 grid into the middle top of the new grid. Alternatively, suppose the top right box is red (or any other color that is not the most common) in the input grid...then that top right 3x3 area should be black in the new grid. Keep following that pattern until you're done. The black holes should now correlate to the locations of the colors of the boxes (in the input grid) that were not the most common."
138,60b61512.json,"In the input, you should see a 9x9 grid",The output grid size remains the same.,"To make the output, you have to complete the squares using the color orange."
60,29ec7d0e.json,"In the input, you should see black square areas on multi-color squares.",The output grid size is the same.,"To make the output, you have to replace the black squares with the correct corresponding colors, using the blocks without black areas as reference."
211,8d510a79.json,"In the input, you should see a square with a gray line and blue and red tiles",The output grid size stays the same,"To make the output, you have to complete a line with the colors. If it's red, fill the line in until you hit the gray bar. If it's blue, fill in until you hit the bottom or top edge."
354,de1cd16c.json,"In the input, you should see pink squares with different colored squares around them",The output grid size is 1x1,"To make the output, you have to look for the colored area with the largest number of pink squares and use that color"
99,445eab21.json,"In the input, you should see A grid with 2 square patterns",The output grid size is 2x2,"To make the output, you have to fill the entire 2x2 grid with the same color of the biggest square pattern that is in the original."
76,36fdfd69.json,"In the input, you should see a grid with many squares in one color and a smaller number of squares in red.",The output grid size is the same as the input grid,"To make the output, you have to copy the input grid. Connect the red squares with yellow to create yellow and red rectangles or squares. Only connect red squares that are close together. Do not turn any black squares yellow - only connect red squares that you can connect by making the other color in the grid yellow. The output grid will have more than one yellow and red rectangle or square."
207,890034e9.json,"In the input, you should see a large grid with one shape with a black center",The output grid size the grid size is the same,"To make the output, you have to count the number of black square in the center of the outlined shape. Somewhere else on the grid is a group of black square that has has the same arrangement, though there may be additional black squares as well. Replicate the original shape from the input grid using those black square as the center. There should be two identical shapes when you are done."
342,d8c310e9.json,"In the input, you should see simple change",The output grid size instead arrive,"To make the output, you have to change as it is"
196,82819916.json,"In the input, you should see one complete line and at least one incomplete line. Each line is made of two colors.",The output grid size is the same as the input.,"To make the output, you have to copy the input grid. Then, you have to complete each incomplete line. Maintain the lines color scheme while matching the pattern of the single complete line."
179,75b8110e.json,"In the input, you should see a 8x8 grid with a black background and 4 distinct quadrants.The top left quadrant should have a yellow pattern, the top right quadrant should have a gray pattern, the bottom left should have a pink pattern, the bottom right should have a brown pattern.",The output grid size becomes 4x4.,"To make the output, you have to resize the output grid to 4x4. Copy the top-left (yellow) pattern. Then, superimpose the bottom-right (brown) pattern on top. Then, superimpose the bottom-left pattern (pink) on top. Then, superimpose the top-right (gray) pattern on top."
21,137eaa0f.json,"In the input, you should see single object fill grid","The output grid size In the input, you should see...single object fill grid","To make the output, you have to In the input, you should see...single object fill grid"
250,a5313dff.json,"In the input, you should see shapes with black inside and dot in center",The output grid size match the output,"To make the output, you have to color the inside blue but if the border of shape goes outside the grid leave inside black"
102,44f52bb0.json,"In the input, you should see 3x3 grid",The output grid size 1x1 grid,"To make the output, you have to if input has 3 or 4 red tiles output is orange. if in put has 2, 5, or 6 red tiles output is blue."
381,f15e1fac.json,"In the input, you should see black background with blue squares and red squares.",The output grid size is the same as the input grid.,"To make the output, you have to First, copy the input grid and leave it as it is. The blue squares act as a starting point for you to draw lines, so if the blue squares are on the left, you have to draw lines horizontally to the right and if the blue squares are at the top, you have to draw the line vertically down. Next, after copying the grid, draw lines from each blue squares and stop just before the grid with the first red square. Then you will start again to draw your second blue lines starting from the grid with the red square, however, you will have to move your line by one grid according to the position of your red square - if your red square is at the bottom, you will move the second line up by one grid, if your red square is at the right, you will have to move your second line left by one grid and if your red square is at the left, you will have to move your second line to the right by one grid. These second blue lines stop just before the grid with the second red square. You will then draw another set of blue lines with the same rule as the second line all the way to the end of the grid."
155,694f12f3.json,"In the input, you should see color pattern 10x10",The output grid size should be same as input grid size,"To make the output, you have to fill the pattern by red and blue color surrounded by same color, the one with most internal block should be filled with red color"
293,bb43febb.json,"In the input, you should see a square and rectangular.",The output grid size stay the same.,"To make the output, you have to fill the inside of both shapes with red leaving a border the same color as original."
339,d687bc17.json,"In the input, you should see a grid with different colors on the border of it in and then multicolored boxes within",The output grid size is the same as the input,"To make the output, you have to copy grid. If any of the boxes on the inside match any of the outline colors move them so they are adjoined to it, without changing the row/column it's in. Do this with every color. If a box on the inside doesn't match with an outside color then just remove it. At the end the middle area should be black and the blocks are adjoined to their respective colors."
143,6430c8c4.json,"In the input, you should see one 9x4 grid separated into two grids with a yellow set of horizontal boxes.","The output grid size is the size of one of the two section, 4x4.","To make the output, you have to put the two section over top of each other. Then you have to look at each block. A block that does not have any of the pattern from the old blocks is colored green. Any block that has pattern from either of the first blocks is colored black."
285,b782dc8a.json,"In the input, you should see a pattern of mostly two colors, plus a small shape of two other colors",The output grid size same size,"To make the output, you have to fill in the black squares by alternating the colors of the smaller shape"
114,4be741c5.json,"In the input, you should see areas of 3 or 4 colors.","The output grid size correspond with the vertical or horizontal orientation and the number of colors. For example, if there are 3 colors and they are separated horizontally, then the output would be a horizonal bar with 3 squares.","To make the output, you have to Take the first color, vertically or horizontally, then fill that color in the corresponding square in the output. Then the second and third..."
378,ecdecbb3.json,"In the input, you should see .A grid with lines of x color and dots of y color.",The output grid size is the same as the input grid,"To make the output, you have to Copy the input grid. Make perpendicular lines from the dots of y color to touch the closest lines of x color. The point of touch should be the y color. If the dot of y color is between 2 lines of y color you should make one lines of y color going through the dot of y color and connecting the lines of x colors. Surround each dot of y color (point of touch) on the line of x color with a square of x color. It should be a square of x color with the center of y color on the line of x color. Done."
397,feca6190.json,"In the input, you should see 5x1 grid with black and colored dots.",The output grid size he height and width will be the number of colored dots in the input times 5.,"To make the output, you have to copy the pattern of the input grid to the bottom left corner of the output grid. On the next row up, copy the pattern of the input grid, but move it to the right by 1 block. Continue this all the way to the top row."
47,239be575.json,"In the input, you should see Blue grid and two red squares with the random Black grid.",The output grid size 1 grid square.,"To make the output, you have to make the color of the square the same color as the square that is five down and three across of the input."
373,ea32f347.json,"In the input, you should see three gray lines of differing lengths on a black background",The output grid size is the same as the input grid.,"To make the output, you have to change the color of the lines. The longest line needs to be colored blue. The middle length line needs to be colored yellow. The shortest line needs to be colored red."
236,99fa7670.json,"In the input, you should see colored blocks on a black background",The output grid size same as input,"To make the output, you have to extend the colored blocks, using their original color, to the right and downward, creating ""L"" shapes. Start with the bottom-most block. Draw a line from the bottom-most block until it touches the right side of the grid, and then draw a line downward from there until it touches the bottom of the grid. This will form an inverted ""L"" shape that is facing left. Then, go up to the next colored block and repeat this process, except when you draw the line downward, stop where it would touch the first color. This will form another inverted ""L"" shape, on top of the first one. Do this for each colored block."
148,6773b310.json,"In the input, you should see A 3 high and 3 wide square with 9 square sections, each with pink squares",The output grid size Reduce the grid size so that one square is available for each group. Each 3 by 3 should need a single square.,"To make the output, you have to For each section that hold 2 pink squares, represent that area with a blue box on the new grid. Single squares are shown as black."
324,d0f5fe59.json,"In the input, you should see several shapes of one single color","The output grid size is the number of shapes the input grid has. for example, if the input grid has 3 shapes, the grid size is should be 3x3","To make the output, you have to take the same color as the shapes in the input grid and create a line from the top left corner to the base right corner"
261,a85d4709.json,"In the input, you should see two black blocks on each row from top to bottom",The output grid size does not change,"To make the output, you have to make the row green if two blocks appear together on the left, yellow if two blocks are separated by a gray block in the middle, and red if two blocks appear together on the right on each row"
332,d43fd935.json,"In the input, you should see a 2x2 green square and a number of other smaller colored squares.",The output grid size is the same as the input grid.,"To make the output, you have to copy the input grid. Then, connect the 2x2 green square to any and all other colored squares which you can reach with a straight line. Use the color of the square to which you are connecting the 2x2 green square. Fill in all of the black squares between that square and the 2x2 green square. Leave the rest of the grid - including any colored square you can't reach with a straight line - as they are."
298,bdad9b1f.json,"In the input, you should see 2 horizontal squares and 2 vertical blue squares.",The output grid size have the same size.,"To make the output, you have to continue the pattern of red squares horizontal and continue the blue squares vertical to reach the edge of the grid. On the square that blue and red squares crosses, color that one yellow."
277,b27ca6d3.json,"In the input, you should see some single and paired red boxes on a black field",The output grid size be the same as the input,"To make the output, you have to surround the paired red boxes with green boxes"
109,484b58aa.json,"In the input, you should see executive",The output grid size assume,"To make the output, you have to share"
51,25d8a9c8.json,"In the input, you should see colored pattern in the grids.",The output grid size same as the input grid size.,"To make the output, you have to fill the row with grey if the row has the same colors in the input. color the row with black if the row contain different colors."
365,e6721834.json,"In the input, you should see a large grid with two different colors. One grid will have individual colored squares. The other grid will have colored squares surrounded by another color.",The output grid size Is one half the size of the original grid with the same orientation.,"To make the output, you have to Copy the grid that has the individual colored squares only. Look at the grid that was not used and create the same colored shapes around the individual squares on the grid. They should be the same colors, shapes, and number of squares."
172,72322fa7.json,"In the input, you should see shapes (exemplars) composed of colored pixels and nonconnected pixels (singletons)",The output grid size it's the same as the original.,"To make the output, you have to  Copy the input grid. Add colored pixels to the singletons such that they copy the exemplars."
92,4093f84a.json,"In the input, you should see gray rows with some other colored boxes in the grid.",The output grid size is the same as the input grid.,"To make the output, you have to first copy the gray rows or columns exactly. Now imagine that the non-gray boxes are attracted to the gray rows like magnets. Move the non-gray boxes until they are touching the gray rows. Now, every box should be touching the gray rows. The last step is to change all of the non-gray boxes to be gray. The final result should be only gray boxes, all of them connected by the original gray rows/columns."
125,54d82841.json,"In the input, you should see one or two shapes with a piece out of the middle bottom.",The output grid size remains the same.,"To make the output, you have to add a yellow square at the bottom where if the shape or shapes fall they will land on the yellow square."
349,dbc1a6ce.json,"In the input, you should see a black grid with blue squares.",The output grid size is the same as the input grid.,"To make the output, you have to draw a light blue line to connect any dark blue squares that are on the same line or row."
84,3bdb4ada.json,"In the input, you should see large rectangle shapes.",The output grid size is the same as the input grid size.,"To make the output, you have to put black squares in the middle of the rectangle shapes so that the pattern is colored square, black square, colored square, black square and so on in the middle of each rectangle."
133,5ad4f10b.json,"In the input, you should see black background with colored pattern and another color 2 single squares",The output grid size Will be 3x3,"To make the output, you have to take the color pattern and move to new grid with color 2. The output pattern will be a smaller than the input."
164,6d58a25d.json,"In the input, you should see a shape like the head of an arrow surrounded by black with single blocks of a different color randomly spaced around the outside of the grid.",The output grid size remains the same,"To make the output, you have to Using the color of the random blocks around the outside, make a row straight down from the arrow head figure to meet any colored blocks below, extending the new row to the end of the grid"
308,c8f0f002.json,"In the input, you should see blue and yellow colors",The output grid size is the same as the input grid size,"To make the output, you have to change the yellow grids into grey one"
390,f8b3ba0a.json,"In the input, you should see multiple color boxes are shown. each color are combine with same color.","The output grid size reduce the grid size vertically like 1x3, 1x4 subject to the number of color and avoid a color box shown in large number.","To make the output, you have to order the color boxes. avoid a large number of the color box."
113,49d1d64f.json,"In the input, you should see the grid size. The input grid size is the center size for output grid.","The output grid size should be input size with one more grid is 3x3 change into 5x5 , 2x2 change into 4x4 like 2x3 change into 4x5","To make the output, you have to make input pattern as center for output and colors should be same. The adjacent colors are also same . all four corner colors should be black"
328,d23f8c26.json,"In the input, you should see a square grid of colored squares.",The output grid size is the same as the input.,"To make the output, you have to keep the vertical middle line of squares the same, and color the rest of the squares black."
282,b6afb2da.json,"In the input, you should see two gray squares",The output grid size is the same as the input grid,"To make the output, you have to copy the input grid and then make all four corners of the gray squares blue. Fill the rest of the edge of the gray squares with yellow to connect the blue squares. Then fill the inside of each colored square with red."
144,6455b5f5.json,"In the input, you should see a number of red lines which create smaller black shapes",The output grid size is the same as the input grid,"To make the output, you have to fill the largest black shape with dark blue. Fill the smallest black shape with light blue. If there is more than one shape with the smallest number of squares, fill all of the smallest shapes with light blue."
